Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
267.4,4011,0.0035645269005385,0.0004974678004934,0,0,0,0
267.47,4012,0.0073287561305402,0.0014436465341147,0,0,0,0
267.53,4013,0.004845144243498,0.0021207194699716,0,0,0,0
267.6,4014,0.0028311524812775,0.0014269802253231,0,0,0,0
267.67,4015,0.0063458215132209,0.0026482359222957,0,0,0,0
267.73,4016,0.006351088188596,0.0030911800398429,0,0,0,0
267.8,4017,0.001347738047576,0.0017360834911202,0,0,0,0
267.87,4018,0.001513915648043,0.0026133256973245,0,0,0,0
267.93,4019,0.004502561401802,0.0038536392330576,0,0,0,0
268.0,4020,0.006929410529349,0.002303263014477,0,0,0,0
268.07,4021,0.0100321961112142,0.0018251538223516,0,0,0,0
268.13,4022,0.0115092956585322,0.0082937489693492,0,0,0,0
268.2,4023,0.0119980007894822,0.0209671159359048,0,0,0,0
268.27,4024,0.0073079966579485,0.0071886071131431,0,0,0,0
268.33,4025,0.0082276770139823,0.0073644333759546,0,0,0,0
268.4,4026,0.0114963375703133,0.013499945615422,0,0,0,0
268.47,4027,0.0131854824350053,0.0103075574404655,0,0,0,0
268.53,4028,0.0097862227993774,0.0056813906502776,0,0,0,0
268.6,4029,0.0088227735753859,0.0070404272002752,0,0,0,0
268.67,4030,0.0071292573158132,0.0072896941769865,0,0,0,0
268.73,4031,0.0050254983799714,0.004729420405129,0,0,0,0
268.8,4032,0.0047258690609342,0.0043247942756798,0,0,0,0
268.87,4033,0.0030455082538959,0.0032087834413808,0,0,0,0
268.93,4034,0.000625135497661,0.0022366116398549,0,0,0,0
269.0,4035,0.0001640070447171,0.000541018012236,0,0,0,0
269.07,4036,0.0010481117547278,0.0008159087571563,0,0,0,0
269.13,4037,0.0009038474147364,0.0003696530715535,0,0,0,0
269.2,4038,0.0002424417996305,7.345398747250486e-05,0,0,0,0
269.27,4039,0.0009729594228695,0.0001929858706447,0,0,0,0
269.33,4040,0.0033454619685678,0.000390082428218,0,0,0,0
269.4,4041,0.007007639011944,0.0001398547402091,0,0,0,0
269.47,4042,0.0099394497634108,0.0012590135760071,0,0,0,0
269.53,4043,0.0088144767314147,0.0038822381616873,0,0,0,0
269.6,4044,0.0097220956497324,0.0069709638159247,0,0,0,0
269.67,4045,0.0108244320712744,0.0107412231162315,0,0,0,0
269.73,4046,0.0135203400582508,0.0132696481859807,0,0,0,0
269.8,4047,0.0143246406755378,0.0172409583656248,0,0,0,0
269.87,4048,0.0143599393745383,0.0141291720209819,0,0,0,0
269.93,4049,0.0105293083990965,0.01007141304885,0,0,0,0
270.0,4050,0.0080816765753991,0.0092625836841852,0,0,0,0
270.07,4051,0.0126904301919399,0.0135690567019341,0,0,0,0
270.13,4052,0.0159274971087308,0.0138716084135154,0,0,0,0
270.2,4053,0.0169812235525109,0.0136191958503007,0,0,0,0
270.27,4054,0.015474511301332,0.0149310757482295,0,0,0,0
270.33,4055,0.0121897553365979,0.0145646728461129,0,0,0,0
270.4,4056,0.0080675887756374,0.0119804270079174,0,0,0,0
270.47,4057,0.0133478341549735,0.0122155292094887,0,0,0,0
270.53,4058,0.0123780893996817,0.0120706037706994,0,0,0,0
270.6,4059,0.0127042870313086,0.0137643223692833,0,0,0,0
270.67,4060,0.0099239477325309,0.0094176539731143,0,0,0,0
270.73,4061,0.0020027687307642,0.0056129488660018,0,0,0,0
270.8,4062,0.0023538517157748,0.0017879303446786,0,0,0,0
270.87,4063,0.0051878399299669,0.0001779149246641,0,0,0,0
270.93,4064,0.0035092824872858,0.0003383266980204,0,0,0,0
271.0,4065,0.0037569886110228,0.0009193191687383,0,0,0,0
271.07,4066,0.0036236684346242,0.0029772675455343,0,0,0,0
271.13,4067,0.0066198137512162,0.0060594590448106,0,0,0,0
271.2,4068,0.0091525520349998,0.006442481035738,0,0,0,0
271.27,4069,0.0108608972403104,0.0101446566668806,0,0,0,0
271.33,4070,0.0117471331256744,0.0107158104969572,0,0,0,0
271.4,4071,0.0118119606270527,0.0103070305991577,0,0,0,0
271.47,4072,0.0110555238226205,0.0100717618772032,0,0,0,0
271.53,4073,0.0096362264657819,0.0099033982983804,0,0,0,0
271.6,4074,0.0082504062930447,0.0097895719625349,0,0,0,0
271.67,4075,0.0077689552804198,0.0097235382532434,0,0,0,0
271.73,4076,0.0088025159203644,0.0097102826246774,0,0,0,0
271.8,4077,0.0083158096097026,0.0097601832133697,0,0,0,0
271.87,4078,0.0102379332722533,0.0099052262024647,0,0,0,0
271.93,4079,0.0080991354027204,0.0087926459832482,0,0,0,0
272.0,4080,0.0050419416162822,0.0032973472061644,0,0,0,0
272.07,4081,0.0046801149343048,0.0004873826989532,0,0,0,0
272.13,4082,0.0030586948632799,0.0001662146226263,0,0,0,0
272.2,4083,0.0005767355614947,0.0010456292894532,0,0,0,0
272.27,4084,0.0001671566610776,0.0016574281882277,0,0,0,0
272.33,4085,0.0010057482516888,0.0002889711047071,0,0,0,0
272.4,4086,0.0052727617275295,0.0008961730431298,0,0,0,0
272.47,4087,0.0073397881536438,0.0019987786143377,0,0,0,0
272.53,4088,0.0046089090060251,0.0017337434185677,0,0,0,0
