Time,Frame,nose_dist,body_dist,freezing,Novel,Known
98.0,2450,0.003629449388235,0.0001334189787831,0,0.0,0.0
98.04,2451,0.0018362266485316,0.0003003176479907,0,0.0,0.0
98.08,2452,0.0007337232381765,0.0003719180482971,0,0.0,0.0
98.12,2453,0.0008120815593631,0.0006577439229746,0,0.0,0.0
98.16,2454,0.001648126220173,0.0011737906746026,0,0.0,0.0
98.2,2455,0.0065947653090057,0.002988490646625,0,0.0,0.0
98.24,2456,0.0073004778343264,0.0051919323228619,0,0.0,0.0
98.28,2457,0.0075695431602433,0.00570531780781,0,0.01,0.0
98.32,2458,0.0064354074438353,0.006187233042359,0,0.01,0.0
98.36,2459,0.0072681295019096,0.0074637252778478,0,0.01,0.0
98.4,2460,0.0081711502181476,0.0091844920389724,0,0.01,0.0
98.44,2461,0.0041590655182821,0.0042904305839434,0,0.01,0.0
98.48,2462,0.0100029336547376,0.0096323683513171,0,0.01,0.0
98.52,2463,0.0085589848251276,0.0086458233051535,0,0.01,0.0
98.56,2464,0.0098493981397711,0.0102062935625486,0,0.01,0.0
98.6,2465,0.007126968901177,0.0068677380104179,0,0.01,0.0
98.64,2466,0.0065147354762706,0.0057423383910487,0,0.01,0.0
98.68,2467,0.0071629749801761,0.0065718184035598,0,0.01,0.0
98.72,2468,0.0067452528503171,0.0077453762589126,0,0.01,0.0
98.76,2469,0.0083493524850829,0.0082283445552292,0,0.01,0.0
98.8,2470,0.0075644652916836,0.005657293322274,0,0.01,0.0
98.84,2471,0.0042885193340923,0.004065468016235,0,0.01,0.0
98.88,2472,0.0015203950278689,0.0014335829978405,0,0.01,0.0
98.92,2473,0.0038786344031051,0.0032042626205361,0,0.01,0.0
98.96,2474,0.0040241851508466,0.0036234952538569,0,0.01,0.0
99.0,2475,0.0026148892204087,0.0015867711619664,0,0.01,0.0
99.04,2476,0.0006619268064007,0.0002444762923848,0,0.01,0.0
99.08,2477,0.0022884343662107,0.0003058617008735,0,0.01,0.0
99.12,2478,0.0053763815847515,0.0010983304867932,0,0.01,0.0
99.16,2479,0.0038207366923481,0.0012922812876101,0,0.01,0.0
99.2,2480,0.0024801752308893,0.0011651481343279,0,0.01,0.0
99.24,2481,0.003934677688152,0.0011609508033732,0,0.01,0.0
99.28,2482,0.0017823988143892,0.0003504150340879,0,0.01,0.0
99.32,2483,0.0008260765807768,0.0002992826094367,0,0.01,0.0
99.36,2484,0.0022698530390732,0.0013670721102777,0,0.01,0.0
99.4,2485,0.0081589544102499,0.0014026829512518,0,0.01,0.0
99.44,2486,0.0050543931366615,0.0008999885567761,0,0.01,0.0
99.48,2487,0.0012073801838038,0.0004056745558765,0,0.01,0.0
99.52,2488,0.0020255374359323,0.0008623926060694,0,0.01,0.0
