Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
19.56,489,0.0013342602751585,0.000890576245039,0,other,0,0
19.6,490,0.0010660792438607,0.0007224436202032,0,other,0,0
19.64,491,0.0003562328813965,0.0006734576717974,0,other,0,0
19.68,492,0.0004444015353196,0.0001703799914603,0,other,0,0
19.72,493,0.0023785011472026,0.0006174095809641,0,other,0,0
19.76,494,0.0036506703964397,0.002448696148136,0,other,0,0
19.8,495,0.0021363141661992,0.0011071983851496,0,other,0,0
19.84,496,0.0012996261070759,0.000176813153554,0,other,0,0
19.88,497,0.0003842958425293,3.0085241969980173e-05,0,other,0,0
19.92,498,0.0003351146664173,0.0003438215923874,0,other,0,0
19.96,499,0.0001194536249729,0.0011326322192798,0,other,0,0
20.0,500,0.0004174442537564,0.0004956125504306,0,other,0,0
20.04,501,0.0014078143731904,0.0006909164260045,0,other,0,0
20.08,502,0.0004964949610213,0.000199116169555,0,other,0,0
20.12,503,3.552713678800501e-17,0.0002535509424716,0,other,0,0
20.16,504,0.0005282930031798,0.0001372814619781,0,other,0,0
20.2,505,0.0026026238480959,0.0009600962816776,0,other,0,0
20.24,506,0.0038869703475483,0.0023517033151706,0,other,0,0
20.28,507,0.0016120866124399,0.0014855312303825,0,other,0,0
20.32,508,0.0004631999657687,0.0010227975270382,0,other,0,0
20.36,509,0.002568857619852,0.0018955542426893,0,other,0,0
20.4,510,0.0060739082377907,0.0026387794637806,0,other,0,0
20.44,511,0.0058151907919203,0.0048766852793477,0,other,0,0
20.48,512,0.0013296660739391,0.001140031533519,0,other,0,0
20.52,513,0.0004431456216599,0.0001192639050265,0,other,0,0
20.56,514,0.0021422760588661,0.0005908625772285,0,other,0,0
20.6,515,0.0043469225052975,0.0008989613367773,0,other,0,0
20.64,516,0.0060533248397003,0.0014011969497353,0,other,0,0
20.68,517,0.0015067118794173,0.000383925276231,0,other,0,0
20.72,518,0.0005882750653983,0.0001603504650958,0,other,0,0
20.76,519,0.0001455252598238,0.0001750345729879,0,other,0,0
20.8,520,0.0001259661924736,0.0001625895243648,0,other,0,0
20.84,521,0.0005842540133935,0.0001351369549537,0,other,0,0
20.88,522,0.0005171527293538,3.387720627250298e-05,0,other,0,0
20.92,523,0.0001563592964692,1.9479405118940487e-05,0,other,0,0
20.96,524,0.000118152484125,4.843905611657817e-06,0,other,0,0
21.0,525,0.0001244064264635,1.429454686521376e-06,0,other,0,0
21.04,526,0.0004147644193136,5.732673047354738e-06,0,other,0,0
21.08,527,0.0004226183631103,3.382605595229505e-05,0,other,0,0
21.12,528,0.0017024186860132,0.00018241664464,0,other,0,1
21.16,529,0.0023356313343537,0.0005221217555622,0,other,0,1
21.2,530,0.0009678891120518,0.0002936038610933,0,other,0,1
