Time,Frame,nose_dist,body_dist,freezing,body,Mice,Object
96.33,1445,0.0050093444083228,0.0005940848367446,0,center,0,0
96.4,1446,0.0023213886806883,0.0012371515259197,0,center,0,0
96.47,1447,0.0010790703601703,0.0002533727820332,0,center,0,0
96.53,1448,0.0030027317187192,0.0003045228761102,0,center,0,0
96.6,1449,0.0024576069949254,0.0002701229214296,0,center,0,0
96.67,1450,0.0001300550992812,0.0001280282975573,0,center,0,0
96.73,1451,0.0021690616886834,0.0002794953509621,0,center,0,0
96.8,1452,0.0024076220927423,0.0003643177986267,0,center,0,0
96.87,1453,0.0049137576094943,0.0008341681578816,0,center,0,0
96.93,1454,0.009186859909566,0.002410609224405,0,center,0,0
97.0,1455,0.0088071600335578,0.0012626645531565,0,center,0,0
97.07,1456,0.0096175722088988,0.0035095369416917,0,center,0,0
97.13,1457,0.0090046013284828,0.0049685507841099,0,center,0,0
97.2,1458,0.0098237536520588,0.0048070788806024,0,center,0,0
97.27,1459,0.0115302429674814,0.0074525527324248,0,center,0,0
97.33,1460,0.0130517941155265,0.0099311881597244,0,center,0,0
97.4,1461,0.0148419435057256,0.0116416183701176,0,center,0,0
97.47,1462,0.0138461161292154,0.0113268960092579,0,center,0,0
97.53,1463,0.0095254326366364,0.0088909365000572,0,center,0,0
97.6,1464,0.0046043580674623,0.0052897591408364,0,center,0,0
97.67,1465,0.0015555586100142,0.0019645418580666,0,center,0,0
97.73,1466,0.0003949915574035,0.0002711636036856,0,center,0,0
97.8,1467,0.0001304448421085,3.852846181156254e-06,0,center,0,0
97.87,1468,0.0002200464935728,8.343004416611564e-05,0,center,0,0
97.93,1469,0.0005798121841287,0.0002714184406438,0,center,0,0
98.0,1470,0.0004275084603531,0.0002880383559989,0,center,0,0
98.07,1471,0.0001149080265033,0.0001799263793909,0,center,0,0
98.13,1472,0.0003081596262995,9.39274786626484e-05,0,center,0,0
98.2,1473,0.0012799173639733,0.0008448325463018,0,center,0,0
98.27,1474,0.005568213015685,0.0019274891272227,0,center,0,0
98.33,1475,0.0075699846245838,0.0015362682547326,0,center,0,0
98.4,1476,0.004306885348466,0.0004071707673364,0,center,0,0
98.47,1477,0.0005621529051465,0.0008851578708716,0,center,0,0
98.53,1478,0.0038032923931088,0.0045789627410724,0,center,0,0
98.6,1479,0.0074564908519766,0.0066182495043389,0,center,0,0
98.67,1480,0.0050630016764456,0.0036621609722912,0,center,0,0
98.73,1481,0.0026328414867773,0.0024200399903051,0,center,0,0
98.8,1482,0.0018283158279333,0.0019562634874745,0,center,0,0
98.87,1483,0.0014991631095645,0.0014324976757529,0,center,0,0
98.93,1484,0.001126604655938,0.0021166237939198,0,center,0,0
99.0,1485,0.0001021356728118,0.0015840598208069,0,center,0,0
99.07,1486,0.0016736901937455,0.0002712732295346,0,center,0,0
99.13,1487,0.0046375078362644,0.0010590481660335,0,center,0,0
99.2,1488,0.0079974939355842,0.0036437377101211,0,center,0,0
99.27,1489,0.0036117147183785,0.002807416334397,0,center,0,0
