Time,Frame,nose_dist,body_dist,freezing,Known,Novel
158.92,3973,6.046671787478885e-05,0.0001318715306423,0,0.0,0.02
158.96,3974,0.0003074801707303,0.0005360581770018,0,0.0,0.02
159.0,3975,0.0005739268724006,0.0001856294624977,0,0.0,0.02
159.04,3976,0.000656042197965,7.487566687286783e-05,0,0.0,0.02
159.08,3977,0.0001536238877005,1.401882169929536e-05,0,0.0,0.02
159.12,3978,7.09000804605895e-05,3.960334535592977e-05,0,0.0,0.02
159.16,3979,0.0001971643884535,0.0001173425178453,0,0.0,0.02
159.2,3980,0.0002925090554181,5.997425557351541e-05,0,0.0,0.02
159.24,3981,0.0002000127404466,1.80479990400557e-05,0,0.0,0.02
159.28,3982,0.0001301848636051,2.760017347108429e-05,0,0.0,0.02
159.32,3983,0.0002418052847639,0.0001037701607658,0,0.0,0.02
159.36,3984,8.624845513985039e-05,5.416898588442828e-05,1,0.0,0.02
159.4,3985,0.0001385125322252,1.3335406798832242e-05,1,0.0,0.02
159.44,3986,0.0004051112468081,1.499027783494872e-05,1,0.0,0.02
159.48,3987,0.0001486728003301,3.843600689748438e-06,1,0.0,0.02
159.52,3988,3.347430510421004e-05,3.531396874462525e-05,1,0.0,0.02
159.56,3989,0.0001300806230305,0.0001596534955528,1,0.0,0.02
159.6,3990,0.0002589894542408,0.0001308013034494,1,0.0,0.02
159.64,3991,0.0001650528535188,2.9769820330502904e-05,1,0.0,0.02
159.68,3992,3.852822492674448e-05,6.805307012314887e-05,1,0.0,0.02
159.72,3993,0.0001223443322249,1.4505888679856582e-05,1,0.0,0.02
159.76,3994,0.0002592695704137,3.831652225223081e-05,1,0.0,0.02
159.8,3995,0.000455590898839,3.3142460172144925e-05,1,0.0,0.02
159.84,3996,0.0002991846798378,2.4763708514405613e-05,1,0.0,0.02
159.88,3997,0.0007466234840268,3.430755914091249e-05,1,0.0,0.02
159.92,3998,0.0006388136896774,0.0001187180514366,1,0.0,0.02
159.96,3999,0.0003658776227984,2.122294209264823e-05,1,0.0,0.02
160.0,4000,8.175747110719556e-05,3.951520738513872e-05,1,0.0,0.02
160.04,4001,9.898384642145632e-05,2.887312913034348e-05,1,0.0,0.02
160.08,4002,0.0004077086972672,7.918220099186626e-05,0,0.0,0.02
160.12,4003,0.0001747064637649,3.6410603976508094e-05,0,0.0,0.02
160.16,4004,0.00022093677681,4.728199266376013e-05,0,0.0,0.02
160.2,4005,0.000514718843006,1.1734504770561929e-05,0,0.0,0.02
160.24,4006,0.0001249629913133,6.965874136000139e-07,0,0.0,0.02
160.28,4007,9.796860723670089e-05,5.256733848793699e-06,0,0.0,0.02
160.32,4008,0.0002745956717895,1.9113873342461742e-05,0,0.0,0.02
160.36,4009,0.0003357580643061,4.397728483962123e-05,0,0.0,0.02
160.4,4010,7.48317823003909e-05,8.0832878161851e-05,0,0.0,0.01
160.44,4011,9.111296697288108e-06,8.743781921519962e-05,0,0.0,0.01
160.48,4012,0.0006058687242445,4.843379595379754e-05,0,0.0,0.01
160.52,4013,0.0029768298568921,2.451116065280701e-05,0,0.0,0.01
160.56,4014,0.0032739802640191,0.0003117067728845,0,0.0,0.01
160.6,4015,0.0022363457064589,0.0009921290879654,0,0.0,0.01
160.64,4016,0.0006144924801694,0.0002993584163856,0,0.0,0.01
160.68,4017,0.0007021314524878,0.0003825526752102,0,0.0,0.01
160.72,4018,0.0001750602105798,0.0009206854115958,0,0.0,0.01
160.76,4019,0.0001026863260682,0.0005555488819355,0,0.0,0.01
160.8,4020,0.0004136514579249,0.0004571321766364,0,0.0,0.01
160.84,4021,0.0004360932193195,0.0001241871706937,0,0.0,0.01
160.88,4022,0.0015716721039639,6.595507083082038e-05,0,0.0,0.01
160.92,4023,0.0017648338443758,3.242259503840013e-05,0,0.0,0.01
160.96,4024,0.0022270999131713,5.441449685867452e-06,0,0.0,0.01
161.0,4025,0.0019087984127048,4.8894269262056414e-05,0,0.0,0.01
161.04,4026,0.0011491820612346,1.2810298249465583e-05,0,0.0,0.01
161.08,4027,0.0050664775621027,2.9862911835048896e-05,0,0.0,0.02
161.12,4028,0.0086342702682616,8.932663857091966e-05,0,0.0,0.03
161.16,4029,0.0048039595481268,0.0003040300716782,0,0.0,0.06
161.2,4030,0.0028981484590098,0.0001254325360901,0,0.0,0.11
161.24,4031,0.0006649441291312,7.378983690384948e-05,0,0.0,0.21
161.28,4032,0.0007890729768721,0.0003833627026311,0,0.0,0.29
161.32,4033,0.0011651149764582,0.0012969664672442,0,0.0,0.5
161.36,4034,0.001148700732355,0.0009127106648234,0,0.0,0.64
161.4,4035,0.0009689163418144,0.000282873202021,0,0.0,0.58
161.44,4036,0.000961900633786,0.0003311633095977,0,0.0,0.43
161.48,4037,0.0045618269614449,0.0013046160193681,0,0.0,0.19
161.52,4038,0.0058313914462879,0.0008290097087433,0,0.0,0.1
161.56,4039,0.0012908328621883,0.000226142099647,0,0.0,0.07
161.6,4040,0.0003516735435389,0.0002049098350606,0,0.0,0.05
161.64,4041,0.001400494583053,0.0008564511555275,0,0.0,0.04
161.68,4042,0.0015169624803243,0.0020453681949145,0,0.0,0.04
