Time,Frame,nose_dist,body_dist,freezing,body
158.68,3967,0.0042558463069681,0.00376533413765,0,Arm_2
158.72,3968,0.0045242233398164,0.0048552005096185,0,Arm_2
158.76,3969,0.0062215108811624,0.0052952430126812,0,Arm_2
158.8,3970,0.0098850187923795,0.0080072374074909,0,Arm_2
158.84,3971,0.0087160271391868,0.0092512307258986,0,Arm_2
158.88,3972,0.0066968547468761,0.0085772522303475,0,Arm_2
158.92,3973,0.0065149443749375,0.0083387218519319,0,Arm_2
158.96,3974,0.0081238688759175,0.0076375154107449,0,Arm_2
159.0,3975,0.0085336842852823,0.008938463298479,0,Arm_2
159.04,3976,0.0068271372575014,0.0081945614513732,0,Arm_2
159.08,3977,0.0081197006112,0.0091225939622627,0,Arm_2
159.12,3978,0.0110266406819662,0.0107080303640589,0,Arm_2
159.16,3979,0.0087320426856098,0.0074721828619873,0,Arm_2
159.2,3980,0.0034905731481275,0.0022727220143381,0,Arm_2
159.24,3981,0.0018586430115718,0.0019253649131789,0,Arm_2
159.28,3982,0.0031011216568486,0.0020686021162656,0,Arm_2
159.32,3983,0.0025663628183777,0.001245560949265,0,Arm_2
159.36,3984,0.0014496603221682,0.0001509374453055,0,Arm_2
159.4,3985,0.0009308883445657,0.000278985577416,0,Arm_2
159.44,3986,0.0003099086354939,3.635818102535831e-05,0,Arm_2
159.48,3987,0.0010362302141173,0.0003922986988388,0,Arm_2
159.52,3988,0.0041239106894342,0.000775800355354,0,Arm_2
159.56,3989,0.007253355391579,0.0012464967979794,0,Arm_2
159.6,3990,0.0124324158786805,0.0006254041590435,0,Arm_2
159.64,3991,0.0094217287549214,0.0015474313706749,0,Arm_2
159.68,3992,0.0030457683469121,0.0022341156672562,0,Arm_2
159.72,3993,0.002941134399139,0.0005568380487615,0,Arm_2
159.76,3994,0.0021091354411359,0.0002369417898182,0,Arm_2
159.8,3995,0.0014795396767734,0.0005337253365663,0,Arm_2
159.84,3996,0.0015268485926192,0.0013152494206706,0,Arm_2
159.88,3997,0.0028158823001749,0.0031918788122674,0,Arm_2
159.92,3998,0.0029869699278181,0.0027891055177117,0,Arm_2
159.96,3999,0.00429860893194,0.0027542141750715,0,Arm_2
160.0,4000,0.0036492463722858,0.003276700154332,0,Arm_2
160.04,4001,0.003439269092167,0.0029827054131816,0,Arm_2
160.08,4002,0.0047792365042161,0.0029299089800186,0,Arm_2
160.12,4003,0.0043297707863094,0.0039350192237711,0,Arm_2
160.16,4004,0.0032892178655795,0.0048920139670785,0,Arm_2
160.2,4005,0.0030962695030974,0.0019265375059029,0,Arm_2
160.24,4006,0.0011192798470997,0.0006581520606889,0,Arm_2
160.28,4007,0.0034678708406392,0.0032122292805534,0,Arm_2
160.32,4008,0.0052746269297973,0.0050629491111399,0,Arm_2
160.36,4009,0.0122298135613424,0.0064823460056943,0,Arm_2
160.4,4010,0.0112527638527233,0.0075538488240316,0,Arm_2
160.44,4011,0.0086708099180768,0.0048798902338075,0,Arm_2
160.48,4012,0.0056621394372148,0.0030209984290068,0,Arm_2
160.52,4013,0.0074180741064873,0.0041305487960052,0,Arm_2
160.56,4014,0.0052103268723531,0.0034546017094632,0,Arm_2
160.6,4015,0.0038283292147875,0.0027110532112467,0,Arm_2
160.64,4016,0.0014468610220413,0.0006388103167167,0,Arm_2
160.68,4017,0.0028232232642665,0.0006685724191616,0,Arm_2
160.72,4018,0.0041453407108138,0.0021190967846585,0,Arm_2
160.76,4019,0.0023772717780008,0.0016603526860897,0,Arm_2
160.8,4020,0.0033201769226809,0.0007854803168926,0,Arm_2
160.84,4021,0.0019108252778934,0.0011811975270205,0,Arm_2
160.88,4022,0.0005478247495065,0.0007603681527303,0,Arm_2
160.92,4023,0.0035045743647788,0.00037636427699,0,Arm_2
160.96,4024,0.0056294339607007,0.0010791109883814,0,Arm_2
161.0,4025,0.0118790696829378,0.0030902845880078,0,Arm_2
161.04,4026,0.0072529503946189,0.0028919347160859,0,Arm_2
161.08,4027,0.002048714950127,0.0031379480016108,0,Arm_2
161.12,4028,0.001071787119621,0.0045253297613707,0,Arm_2
161.16,4029,0.0016030873495273,0.0031760271998206,0,Arm_2
161.2,4030,0.0023614450884525,0.0020802617027657,0,Arm_2
161.24,4031,0.005033540880142,0.0014083697871608,0,Arm_2
161.28,4032,0.0065459436450191,6.645576711263212e-05,0,Arm_2
